;resnet;simplecnn;knn;autoencoder;vae;discriminative_autoencoder;discriminative_vae
train_mse;0.03167611076983053;0.34546252551363477;0.0;0.8831845019174659;0.9295969724655151;1.1278014932451588;0.9820779941374553
train_accuracy;0.996268656716418;0.996268656716418;1.0;;;;
validation_mse;0.025410056004629415;0.34064726969775033;0.0;1.0504339933395386;1.027116060256958;1.2398483441626946;1.1751339195829018
validation_accuracy;1.0;1.0;1.0;;;;
test_mse;0.02825327261927582;0.35025913090932936;0.0;1.0499327580134075;1.0477445125579834;1.2635492215275352;1.156426467164227
test_accuracy;1.0;1.0;1.0;;;;
latent_dimension;;;;2.0;2.0;2.0;2.0
reconstruction_blackbox_accuracy_train_ae;0.991304347826087;0.9391304347826087;1.0;;;;
reconstruction_blackbox_accuracy_validation_ae;1.0;0.9655172413793104;1.0;;;;
reconstruction_blackbox_accuracy_test_ae;1.0;0.8888888888888888;1.0;;;;
reconstruction_blackbox_accuracy_train_vae;0.991304347826087;1.0;1.0;;;;
reconstruction_blackbox_accuracy_validation_vae;1.0;1.0;1.0;;;;
reconstruction_blackbox_accuracy_test_vae;1.0;1.0;1.0;;;;
reconstruction_blackbox_accuracy_train_dae;0.991304347826087;1.0;1.0;;;;
reconstruction_blackbox_accuracy_validation_dae;1.0;1.0;1.0;;;;
reconstruction_blackbox_accuracy_test_dae;1.0;1.0;1.0;;;;
reconstruction_blackbox_accuracy_train_dvae;0.991304347826087;1.0;1.0;;;;
reconstruction_blackbox_accuracy_validation_dvae;1.0;0.9655172413793104;1.0;;;;
reconstruction_blackbox_accuracy_test_dvae;0.9722222222222222;0.9722222222222222;1.0;;;;
