;resnet;simplecnn;knn;autoencoder
train_mse;0.03641835478917947;0.39319782124625313;0.0;0.00028317791031862513
train_accuracy;0.9930555555555556;0.8412698412698413;1.0;
validation_mse;0.5752109889946286;0.4137367927838886;0.2261904761904762;0.0010495693289043232
validation_accuracy;0.8611111082727947;0.829365076526763;0.7738095238095238;
test_mse;0.8015891332309563;0.4892052703109377;0.21678321678321677;0.0005397105813716297
test_accuracy;0.8286713279766359;0.7680652683431451;0.7832167832167832;
latent_dimension;;;;40.0
reconstruction_blackbox_accuracy_train;0.9623188405797102;0.9826086956521739;0.9826086956521739;
reconstruction_blackbox_accuracy_validation;0.9310344827586207;0.9310344827586207;0.9770114942528736;
reconstruction_blackbox_accuracy_test;0.9722222222222222;0.9722222222222222;0.9629629629629629;
